Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
alpha medical clinic,Appling,0,0,600,0
american family care gateway rd,Appling,0,0,500,0
Anderson Family Medicine,Appling,0,0,3600,100
Any Lab Test Now- Windy Hill,Appling,0,0,1100,400
Appling County Health Department,Appling,0,0,7100,2800
Appling Healthcare Systems,Appling,3900,975,1800,800
Bacon County Hospital And Health System,Appling,0,0,900,700
Baxley Wellness Pharmacy,Appling,0,0,1000,600
Concord Pharmacy,Appling,0,0,7900,300
cvs 4424,Appling,0,0,100,0
Georgia Clinicwest End,Appling,2925,0,2000,0
Kroger Pharmacy 487,Appling,0,0,1300,200
Lifeline Primary Care,Appling,975,0,3500,200
Ridgeview Institute-monroe,Appling,0,0,1200,400
Sandersville Drug Co,Appling,0,0,400,0
Atkinson Co Health Department,Atkinson,0,0,1300,1200
Bacon County Health Department,Bacon,0,0,900,1000
Baker County Health Department,Baker,0,0,1100,1200
Baldwin County Health Department,Baldwin,0,0,2700,1200
Bostick Nursing Center,Baldwin,0,0,0,200
Central State Hospital,Baldwin,0,0,1100,800
Dialysis Center Of Milledgeville,Baldwin,0,0,100,0
Hm Drugs,Baldwin,0,0,800,0
Kroger Pharmacy 01100694,Baldwin,0,0,1300,300
Medical Arts Pharmacy,Baldwin,0,0,2200,500
Middle Georgia Correctional Complex Pharmacy,Baldwin,0,0,700,400
Banks County Health Department,Banks,0,0,5400,1500
Homer Drugs Llc,Banks,975,0,1600,600
Medlink Georgia - Banks,Banks,0,0,300,400
Barrow County Health Dept,Barrow,0,0,2000,400
Farmer's Prescription Shop,Barrow,0,0,1200,500
"Health Associates Of Georgia, Inc.",Barrow,1950,975,5000,1600
Ingles Pharmacy #451,Barrow,0,0,1000,600
Ingles Pharmacy #57,Barrow,0,0,1000,600
ivydale wellness center llc,Barrow,975,0,100,0
Medlink Georgia Winder,Barrow,0,0,600,700
Ngpg Auburn Primary Care,Barrow,0,0,1100,100
Ngpg Family Health Associates,Barrow,0,0,500,0
Ngpg Gateway Exchange,Barrow,0,0,200,0
Publix Pharmacy#0108,Barrow,0,0,1000,200
Publix Pharmacy#0480,Barrow,0,0,1200,300
Publix Pharmacy#1251,Barrow,0,0,1000,200
Adairsville Drug,Bartow,0,0,1700,200
Bartow County Health Department,Bartow,0,0,21800,5700
Bartow Family Health Center,Bartow,0,0,100,0
Cartersville Medical Center,Bartow,0,0,2000,2200
Family Care Of Cartersville,Bartow,0,0,700,200
Ingles Pharmacy #483,Bartow,0,0,1000,600
Ingles Pharmacy #76,Bartow,0,0,1000,600
Kroger Pharmacy 01100629,Bartow,0,0,1400,400
Publix Pharmacy#0554,Bartow,0,0,1000,100
The Family Medicine Clinic,Bartow,0,0,200,100
West End Pharmacy,Bartow,0,0,7900,1100
Ben Hill County Health Department,Ben Hill,0,0,2400,2000
Dorminy Medical Center,Ben Hill,0,0,3200,900
Berrien County Health Dept,Berrien,0,0,1700,1400
Berrien County Hospital,Berrien,0,0,200,200
betty dupree healthcare center,Berrien,0,0,600,300
Coliseum Medical Center,Bibb,975,0,2200,2200
Dialysis Center Of Macon,Bibb,0,0,100,0
East Macon Dialysis Center,Bibb,0,0,100,0
Family Care Of Middle Georgia(Formerly Macon Pediatrics) Bibb,0,0,3200,400,NA
First Choice Primary Care,Bibb,0,0,1200,1300
Georgia Arrhythmia Consultants And Resea,Bibb,0,0,400,0
"Internal Medicine Associates, Pc",Bibb,0,0,800,0
Iv Care Options,Bibb,0,0,300,100
Kroger Pharmacy 01100328,Bibb,0,0,1300,300
Kroger Pharmacy 01100355,Bibb,0,0,1300,300
Kroger Pharmacy 01100378,Bibb,0,0,1200,200
Kroger Pharmacy 01100400,Bibb,0,0,1400,500
Kroger Pharmacy 01100411,Bibb,0,0,1300,200
Kroger Pharmacy 01100425,Bibb,0,0,1300,200
Macon-bibb County Health Dept,Bibb,0,0,7800,3600
mga health clinicmiddle ga state univer,Bibb,0,0,200,0
Navicent Health,Bibb,2925,2925,15500,7400
Nchd District Office,Bibb,0,0,10000,500
Nightingale Infusion,Bibb,2925,1950,500,200
Publix Pharmacy #1700,Bibb,0,0,1200,500
Publix Pharmacy#1263,Bibb,0,0,1000,300
"Regency Hospital Company Of Macon, Llc",Bibb,0,0,300,100
Renal Physicians Of Ga,Bibb,0,0,700,400
Southern Primary Care,Bibb,0,0,300,0
U Save It Pharmacy - Macon,Bibb,0,0,800,300
Walgreens #10634,Bibb,0,0,800,0
Wesleyan College,Bibb,975,0,1100,100
Bleckley County Health Dept,Bleckley,0,0,2500,2600
Bleckley Memorial Hospital,Bleckley,0,0,600,900
Brantley County Health Department,Brantley,0,0,1100,1200
Brooks County Health Dept New,Brooks,0,0,1800,1400
Lee And Pickels Drugs,Brooks,0,0,700,200
Lee And Pickels Pharmacy,Brooks,0,0,900,300
Primary Care Of Southwest Georgia Quitman,Brooks,0,0,100,200
Bedingfield Pharmacy,Bryan,0,0,300,300
Bryan County Health Department - Pembroke,Bryan,0,0,2800,1800
Bryan County Health Department - Richmond Hill,Bryan,0,0,2300,2300
Kroger Pharmacy 688,Bryan,0,0,1300,200
Publix Pharmacy#1154,Bryan,0,0,1600,600
Richmond Hill Pharmacy,Bryan,0,0,3500,300
Walgreens #10506,Bryan,0,0,800,0
Bulloch County Health Department,Bulloch,0,0,7800,3400
Bulloch Wellness Center,Bulloch,0,0,800,800
East Georgia Regional Medical Center,Bulloch,0,0,5700,2100
Family Health Care Center,Bulloch,0,0,2000,100
Forest Heights Pharmacy,Bulloch,0,0,2700,1400
Georgia Southern University Student Health Services,Bulloch,0,0,2100,200
Internal Medicine Associates Of Statesbo,Bulloch,0,0,1300,0
Mccook Pharmacy Inc,Bulloch,5850,0,35200,1300
Medical Center Pharmacy,Bulloch,0,0,1100,500
Nightingale Infusion,Bulloch,2925,0,500,200
Pooler Pharmacy,Bulloch,0,0,1000,0
Southeast Pharmacy,Bulloch,0,0,1000,0
Statesboro Pediatrics And Family Healthcare Center Inc Bulloch,0,0,3500,600,NA
The Prescription Shop,Bulloch,0,0,1800,1000
Total Health,Bulloch,0,0,1500,800
Victoria Family Practice,Bulloch,0,0,200,0
Willingway Hospital,Bulloch,0,0,500,0
Burke County Health Department,Burke,0,0,4200,2700
Burke Medical Center,Burke,0,0,1300,600
Medical Specialist Inc,Burke,0,0,26100,500
Walmart Store 2754,Burke,0,0,800,500
Butts County Health Department,Butts,0,0,3400,2700
Eagles Landing Family Practice,Butts,0,0,1700,300
moyes pharmacy jackson,Butts,0,0,1000,0
Calhoun County Health Department,Calhoun,0,0,1000,1200
Lane Drug Co.,Calhoun,1950,0,3700,600
Camden County Health Department St. Marys,Camden,0,0,3300,1900
Camden County Health Department Woodbine,Camden,0,0,3100,1800
Nightingale Infusion,Camden,2925,1950,600,200
Publix Pharmacy#0455,Camden,0,0,1400,400
"Southeast Georgia Health System, Camden Campus",Camden,2925,975,1400,800
Candler County Health Department,Candler,0,0,800,800
"Candler County Hospital, Candler Medical Group",Candler,2925,0,1800,900
"Candler Pharmacy, Pc",Candler,0,0,700,400
Ihs Pharmacy & Gifts,Candler,0,0,700,500
metter pharmacy,Candler,975,0,1000,0
Carroll County Health Department,Carroll,0,0,6000,4200
Ingles Pharmacy #405,Carroll,0,0,1200,800
Kroger Pharmacy 01100367,Carroll,0,0,1400,200
Publix Pharmacy#0608,Carroll,0,0,1200,600
Southwire Family Medical Center,Carroll,0,0,600,300
state university of west georgia health,Carroll,0,0,500,0
Tanner Medical Center-carrollton,Carroll,7800,4875,3000,1200
Tanner Medical Center-villa Rica,Carroll,3900,3900,3000,1100
Walmart Store 2732,Carroll,0,0,900,300
Yourtown Health Carrollton,Carroll,0,0,200,300
Catoosa County Health Department,Catoosa,0,0,21700,5900
Chi Memorial Hospital- Georgia,Catoosa,975,975,5300,500
dialysis clinic incft oglethorpe,Catoosa,0,0,100,0
Food City Pharmacy #214,Catoosa,0,0,100,0
Food City Pharmacy #249,Catoosa,0,0,100,0
North Georgia Healthcare Center,Catoosa,0,0,300,500
Price Ringgold Drug,Catoosa,0,0,1000,0
Publix Pharmacy #1641,Catoosa,0,0,1300,700
bennetts hometown pharmacy llc,Charlton,0,0,400,0
Charlton County Health Department,Charlton,0,0,1100,1300
Encompass Health Rehabilitation Hospital Of Savannah,Charlton,0,0,200,200
Folkston Ice Processing Center,Charlton,0,0,100,100
Apollo Pharmacy,Chatham,0,0,2000,100
Bcg Medical Group,Chatham,0,0,4500,700
"Braun Internal Medicine, P.C.",Chatham,0,0,200,0
Chatham County Health Department- Eisenhower,Chatham,26325,24375,10200,8900
Chatham County Health Department - Midtown,Chatham,0,1950,400,800
Compounding Solutions Of Savannah,Chatham,0,0,2600,800
Curtis V Cooper Primary Health Care Inc,Chatham,0,0,2400,1400
Ear Nose And Throat Associates Of Savannah,Chatham,0,0,900,0
Express Drugs Savannah Pharmacy,Chatham,0,0,1000,0
georgetown drug company,Chatham,0,0,500,0
georgia southern health servicesarmstro,Chatham,0,0,400,0
"Hospice Savannah, Inc.",Chatham,0,0,3700,100
"Internal Medicine Of Savannah, Llc",Chatham,0,0,800,600
J.C. Lewis Primary Health Care Center,Chatham,975,0,1300,300
jeffrey p schyberg md,Chatham,0,0,800,0
Kroger Pharmacy 01100697,Chatham,0,0,1200,100
Kroger Pharmacy 418,Chatham,0,0,1300,200
Kroger Pharmacy 460,Chatham,0,0,1500,200
Kroger Pharmacy 609,Chatham,0,0,1300,100
Kroger Pharmacy 645,Chatham,0,0,1400,200
Kroger Pharmacy 979,Chatham,0,0,1300,700
Lo Cost Pharmacy,Chatham,11700,975,4100,900
Memorial Health University Medical Center,Chatham,10725,9750,5000,3300
Nightingale Infusion Inc.,Chatham,3900,1950,600,200
Nightingale Pharmacy,Chatham,975,975,300,300
Optim Healthcare - Employee Health,Chatham,0,0,900,600
Publix Pharmacy #1584,Chatham,0,0,1100,300
Publix Pharmacy#0456,Chatham,0,0,1000,200
Publix Pharmacy#0521,Chatham,0,0,1500,600
Publix Pharmacy#0522,Chatham,0,0,1000,200
Publix Pharmacy#1186,Chatham,0,0,1300,500
Publix Pharmacy#1256,Chatham,0,0,1000,200
Publix Pharmacy#1364,Chatham,0,0,1300,400
Select Specialty Hospital - Savannah,Chatham,0,0,100,100
Sjc Urgent Care,Chatham,0,0,1600,200
South East Lung & Critical Care,Chatham,975,0,1700,0
Southcoast Health,Chatham,0,0,20000,2700
St. Joseph's/Candler Health System,Chatham,15600,14625,1300,1000
St. Joseph'S/Candler Urgent Care,Chatham,0,0,1100,100
Village Walk Pharmacy,Chatham,13650,2925,4700,1100
Walgreens #10635,Chatham,0,0,800,0
Chattahoochee County Health Department,Chattahoochee,0,0,2500,1000
Chattooga County Health Department,Chattooga,0,0,11000,3700
Primary Healthcare Center Of Chattooga,Chattooga,0,0,100,200
Trion Drugs,Chattooga,0,0,700,300
Ball Ground Pharmacy,Cherokee,0,0,300,0
Canton Primary Care,Cherokee,0,0,1200,100
Cherokee County Fire & Emergency Services,Cherokee,1950,0,2000,900
Cherokee County Health Department,Cherokee,0,0,10900,2700
Cherokee County Health Department-woodstock,Cherokee,0,0,33600,10900
Fresenius Woodstock Dialysis,Cherokee,0,0,400,200
"Georgia Highland Medical Services, Inc.",Cherokee,0,0,300,100
Invictus Clinic Llc,Cherokee,0,0,1000,100
Kroger Pharmacy 01100291,Cherokee,0,0,1400,0
Kroger Pharmacy 01100402,Cherokee,0,0,1400,200
Kroger Pharmacy 01100408,Cherokee,0,0,1300,300
Kroger Pharmacy 01100419,Cherokee,0,0,1400,200
Kroger Pharmacy 01100430,Cherokee,0,0,1500,300
Kroger Pharmacy 01100463,Cherokee,0,0,1800,0
Kroger Pharmacy 01100680,Cherokee,0,0,1300,200
Northside Hospital Cherokee,Cherokee,33150,9750,29200,2400
Northside Pediatrics And Adol Medicine,Cherokee,0,0,300,200
Pharmoore Pharmacy,Cherokee,0,0,14100,2200
Publix Pharmacy#0042,Cherokee,0,0,1300,300
Publix Pharmacy#0463,Cherokee,0,0,1000,100
Publix Pharmacy#0624,Cherokee,0,0,1300,300
Publix Pharmacy#0636,Cherokee,0,0,1300,300
Publix Pharmacy#0694,Cherokee,0,0,1000,100
Publix Pharmacy#0711,Cherokee,0,0,1000,100
Publix Pharmacy#1064,Cherokee,0,0,1300,300
Publix Pharmacy#1248,Cherokee,0,0,1300,300
Woodstock Family Practice & Urgent Care,Cherokee,0,0,3000,100
Woodstock Pharmacy,Cherokee,0,0,11300,1500
woodstock primary care,Cherokee,0,0,100,0
Add Drug,Clarke,0,0,500,200
athens east dialysis,Clarke,0,0,400,0
Athens Geriatrics And Internal Medicine,Clarke,975,0,100,0
Athens Neighborhood Health Center,Clarke,0,0,300,500
Athens Pulmonary And Critical Care,Clarke,0,0,1400,0
Benzer Pharmacy Athens Llc,Clarke,0,0,1600,100
"Boulevard Family Practice, P.C.",Clarke,0,0,300,100
Center For Vaccines And Immunology,Clarke,975,0,500,100
Clarke County Health Department,Clarke,12675,11700,14000,6800
Clarke Oconee Family Medicine,Clarke,0,0,1500,200
Elbert Memorial Hospital,Clarke,0,0,2800,1600
Hawthorne Drug Co.,Clarke,0,0,1200,200
Hodgson's Pharmacy,Clarke,0,0,2100,100
Hortons Drugstore,Clarke,0,0,9500,900
Innovative Health Care Institute,Clarke,2925,0,200,100
Kroger Pharmacy 01100255,Clarke,0,0,1500,300
Kroger Pharmacy 01100428,Clarke,0,0,1500,300
Kroger Pharmacy 01100435,Clarke,0,0,1600,400
Kroger Pharmacy 01100618,Clarke,0,0,2000,200
Landmark Hospital Of Athens,Clarke,0,0,400,200
Mercy Health Center,Clarke,0,0,400,0
Piedmont Athens Regional Medical Center,Clarke,14625,5850,0,0
Publix Pharmacy#0451,Clarke,0,0,1000,100
Publix Pharmacy#1146,Clarke,0,0,1300,300
Sams Club Store 8194,Clarke,0,0,1300,0
St. Mary's Hospital,Clarke,2925,975,4000,2100
Surgery Center Of Athens,Clarke,0,0,3400,400
University Cancer & Blood Center Llc,Clarke,10725,3900,1300,400
University Health Center; University Of Georgia,Clarke,5850,1950,6700,1400
Village Drug Shop,Clarke,0,0,800,0
Village Drug Shop At Advantage,Clarke,0,0,300,0
Women's Healthcare Associates,Clarke,0,0,200,200
Clay County Health Department,Clay,0,0,2500,1200
Clay County Medical Center,Clay,0,0,500,600
Ameripro Ems,Clayton,0,0,200,100
Care Plus Family Medicine Riverdale,Clayton,0,0,200,0
Christians Pharmacy,Clayton,975,0,2100,400
Clayton County Board Of Health,Clayton,2925,3900,3500,2200
Clayton County Fire And Ems,Clayton,975,975,1500,600
Clayton State University,Clayton,4875,0,1300,600
Kroger Pharmacy 01100319,Clayton,0,0,1400,300
Kroger Pharmacy 01100373,Clayton,0,0,1300,300
Kroger Pharmacy 01100413,Clayton,0,0,1300,300
Kroger Pharmacy 01100492,Clayton,0,0,1300,300
Morrow Fire Department,Clayton,0,0,300,200
parkway medical clinic,Clayton,0,0,500,0
premier family wellness center,Clayton,0,0,200,0
Publix Pharmacy#0461,Clayton,0,0,1400,700
saigon pharmacare,Clayton,0,0,1000,0
Unity Health Clinic,Clayton,0,0,4200,600
Clinch County Health Department,Clinch,0,0,800,1000
Clinch Memorial Hospital,Clinch,0,0,6300,1200
Acworth Primary Healthcare,Cobb,0,0,1100,100
Anytime Md Urgent Care,Cobb,0,0,300,300
atlanta allergy asthma clinic,Cobb,0,0,3500,0
City Of Marietta,Cobb,0,0,1200,100
Clinica Union,Cobb,0,0,300,300
Cobb County Fire & Emergency Services,Cobb,6825,1950,900,900
Cobbmedical Clinic,Cobb,0,0,100,0
"Cowry Medical Group, Llc",Cobb,975,0,300,100
Devereux Advanced Behavioral Health,Cobb,0,0,800,500
Due West Pharmacy,Cobb,0,0,10500,1800
East Marietta Drugs,Cobb,0,0,11000,1500
Good Samaritan Health Center Of Cobb,Cobb,0,0,700,800
Guardian Pharmacy Of Atlanta,Cobb,0,0,1000,100
Innovation Compounding,Cobb,0,0,10000,1600
K And Y Pharmacy,Cobb,0,0,200,0
Kennesaw Pharmacy,Cobb,0,0,4500,300
Kennestone Family Medicine,Cobb,0,0,2400,700
"Kennestone Hospital, Inc.",Cobb,0,2925,0,1500
Kroger Pharmacy 01100330,Cobb,0,0,1400,100
Kroger Pharmacy 01100335,Cobb,0,0,1300,200
Kroger Pharmacy 01100356,Cobb,0,0,1400,0
Kroger Pharmacy 01100365,Cobb,0,0,1400,700
Kroger Pharmacy 01100397,Cobb,0,0,1400,200
Kroger Pharmacy 01100442,Cobb,0,0,1400,200
Kroger Pharmacy 01100446,Cobb,0,0,1400,300
Kroger Pharmacy 01100453,Cobb,0,0,1400,200
Kroger Pharmacy 01100454,Cobb,0,0,1500,200
Kroger Pharmacy 01100455,Cobb,0,0,1400,200
Kroger Pharmacy 01100456,Cobb,0,0,1400,200
Kroger Pharmacy 01100461,Cobb,0,0,1400,200
Kroger Pharmacy 01100464,Cobb,0,0,1400,200
Kroger Pharmacy 01100478,Cobb,0,0,1300,200
Kroger Pharmacy 01100498,Cobb,0,0,1100,400
Kroger Pharmacy 01100699,Cobb,0,0,1500,300
kroger pharmacy 657,Cobb,0,0,1300,0
Kuraoka Clinic,Cobb,975,0,1500,0
Lacey's Ltc Pharmacy,Cobb,0,0,2100,500
Lacey's Marietta Pharmacy,Cobb,0,0,2000,700
Lacey Drug Company,Cobb,0,0,1700,700
Mableton Pharmacy,Cobb,0,0,12400,3300
marietta eye clinic,Cobb,0,0,100,0
marietta office,Cobb,0,0,1500,0
Marietta Public Health Center,Cobb,0,0,31000,25200
Metro Atlanta Ambulance Service,Cobb,8775,5850,500,700
Ob-gyn Associates Of Marietta,Cobb,0,0,0,200
One Medical Battery,Cobb,0,0,100,0
Physicians Pharmacy,Cobb,0,0,14600,5300
Pointmed,Cobb,0,0,100,0
Poole's Pharmacy,Cobb,0,0,4900,500
Publix Pharmacy #0033,Cobb,0,0,1000,100
Publix Pharmacy #1250,Cobb,0,0,1000,100
Publix Pharmacy#0086,Cobb,0,0,1300,300
Publix Pharmacy#0122,Cobb,0,0,1000,100
Publix Pharmacy#0146,Cobb,0,0,1200,300
Publix Pharmacy#0155,Cobb,0,0,1000,100
Publix Pharmacy#0280,Cobb,0,0,1300,300
Publix Pharmacy#0464,Cobb,0,0,1000,100
Publix Pharmacy#0496,Cobb,0,0,1000,600
Publix Pharmacy#0536,Cobb,0,0,1000,100
Publix Pharmacy#0548,Cobb,0,0,1500,300
Publix Pharmacy#0559,Cobb,0,0,1000,100
Publix Pharmacy#0561,Cobb,0,0,1500,300
Publix Pharmacy#0566,Cobb,0,0,1300,300
Publix Pharmacy#0593,Cobb,0,0,1000,100
Publix Pharmacy#0670,Cobb,0,0,1300,300
Publix Pharmacy#0672,Cobb,0,0,1300,300
Publix Pharmacy#0725,Cobb,0,0,1000,100
Publix Pharmacy#0753,Cobb,0,0,1200,300
Publix Pharmacy#0764,Cobb,0,0,1300,300
Publix Pharmacy#0769,Cobb,0,0,1000,100
Publix Pharmacy#1077,Cobb,0,0,1000,100
Publix Pharmacy#1096,Cobb,0,0,1200,300
Publix Pharmacy#1112,Cobb,0,0,1000,100
Ridgeview Institute-smyrna,Cobb,0,0,200,300
Smyrna Family Medicine,Cobb,0,0,200,200
Stand Up Family Medicine,Cobb,0,0,1200,300
Sterling Estates Of East Cobb,Cobb,975,0,1000,600
Sterling Estates Of West Cobb,Cobb,975,0,1600,800
Town Park Comprehensive Medical Center,Cobb,0,0,14900,2700
Urban Family Practice,Cobb,0,0,700,300
Vinings Pharmacy Llc,Cobb,0,0,300,0
walgreens 5811,Cobb,0,0,1500,0
Coffee Correctional Facility,Coffee,0,0,300,0
Coffee County Health Department,Coffee,0,0,6400,2400
Coffee Regional Medical Center,Coffee,0,0,7800,3700
Coffee Wellness Center,Coffee,0,0,700,800
Douglas Family Health,Coffee,0,0,1600,500
Mcraes Pharmacy,Coffee,0,0,1500,700
Nicholls Pharmacy Llc,Coffee,0,0,600,100
Nightingale Infusion,Coffee,2925,1950,500,300
The Medicine Cabinet,Coffee,0,0,200,0
Chancy Drugs Moultrie,Colquitt,0,0,1000,300
Colquitt County Health Department,Colquitt,0,0,3100,3500
Colquitt Regional Medical Center,Colquitt,4875,975,6200,2500
Publix Pharmacy #1540,Colquitt,0,0,1000,200
Barney's Grovetown Pharmacy,Columbia,0,0,400,100
Center For Primary Care,Columbia,0,0,4100,900
Center For Primary Care - Mcduffie,Columbia,0,0,1100,100
Center For Primary Care - Gateway,Columbia,0,0,1000,0
Columbia County Health Dept.,Columbia,0,0,4100,4200
Evans Medical Group,Columbia,1950,0,8600,2400
Gold Cross Ems,Columbia,0,0,12000,1000
grovetown dialysis clinic llc,Columbia,0,0,200,0
Kroger Pharmacy #294,Columbia,0,0,1500,300
Kroger Pharmacy #414,Columbia,0,0,1400,300
Kroger Pharmacy 01100644,Columbia,0,0,1500,300
martinez urgent care,Columbia,0,0,200,0
Publix Pharmacy#0526,Columbia,0,0,1000,300
Publix Pharmacy#0534,Columbia,0,0,1100,400
Publix Pharmacy#1286,Columbia,0,0,1500,700
Walgreens #06394,Columbia,0,0,800,0
Chancy Drugs Adel,Cook,0,0,1000,300
Cook County Health Department,Cook,0,0,1500,1500
Southwell,Cook,7800,975,6500,600
U Save It Pharmacy - Adel,Cook,0,0,700,300
Walmart Store 7194,Cook,0,0,900,600
Coweta County Health Department,Coweta,0,0,8300,6700
encompass health rehabilitation hospital,Coweta,0,0,100,0
Hazelton Pharmacy,Coweta,0,0,100,100
Kroger Pharmacy 01100363,Coweta,0,0,1400,200
Kroger Pharmacy 01100420,Coweta,0,0,1400,200
Kroger Pharmacy 01100647,Coweta,0,0,1400,100
Lee-goodrum Pharmacy,Coweta,0,0,12600,1000
Lee King Pharmacy,Coweta,0,0,5500,600
Peachtree Allergy & Asthma Clinic,Coweta,0,0,300,100
Piedmont Newnan Hospital,Coweta,0,0,7400,2800
Publix Pharmacy#0470,Coweta,0,0,1000,100
Publix Pharmacy#0786,Coweta,0,0,1000,100
Publix Pharmacy#1143,Coweta,0,0,1400,400
Southeastern Regional Medical Center/Ctca,Coweta,975,975,0,0
Thompson's Pharmacy,Coweta,0,0,10100,600
Yourtown Health Senoia,Coweta,0,0,800,700
Crawford County Health Dept.,Crawford,0,0,3300,1900
Roberta - Careconnect Family Practice,Crawford,0,0,600,100
Roberta Drugs,Crawford,0,0,2200,400
Adams Drug Store,Crisp,0,0,700,300
Crisp County Health Department,Crisp,0,0,4100,1700
"Crisp Regional Hospital, Inc.",Crisp,0,0,3200,2700
U Save It Pharmacy - Cordele,Crisp,0,0,400,400
Dade County Health Department,Dade,0,0,10600,2900
Food City Pharmacy #233,Dade,0,0,100,0
Primary Healthcare Center Of Dade,Dade,0,0,1100,800
Chestatee Emergent Medical Care,Dawson,0,0,2000,200
Dawson County Health Department,Dawson,0,0,14500,2400
dawson pharmacy,Dawson,0,0,400,0
Good Shepherd Clinic Of Dawson County,Dawson,0,0,600,100
Kroger Pharmacy 01100670,Dawson,0,0,1300,200
Publix Pharmacy #1542,Dawson,0,0,1200,300
Bainbridge Pharmacy,Decatur,0,0,1000,800
Decatur County Health Department,Decatur,0,0,1800,1900
Mainstreet Family Care,Decatur,975,975,1500,900
Memorial Hospital And Manor Of Bainbridge,Decatur,0,0,1900,1100
Publix Pharmacy#0665,Decatur,0,0,1200,500
Rx Drug Center,Decatur,0,0,400,100
"Albert F. Johary, M.D., P.C.",DeKalb,0,0,600,100
Amina Medical Consultants,DeKalb,1950,0,1500,100
Arbor Obgyn,DeKalb,0,0,2000,1100
Atlanta Center For Medicine,DeKalb,0,0,800,0
Briarcliff Pediatrics,DeKalb,0,0,100,100
Briarcliff Pharmacy,DeKalb,0,0,12400,3100
Carltons Dunwoody Pharmacy,DeKalb,0,0,5400,0
Cdc Occupational Health Clinic,DeKalb,975,0,0,0
Children's Healthcare Of Atlanta At Egleston,DeKalb,6825,5850,6000,5700
Clinica Union,DeKalb,0,0,1000,300
Dekalb County Board Of Health/North Dekalb Health Center/Pharmacy DeKalb,4875,6825,40000,23100,NA
Dekalb County Sheriff's Office,DeKalb,0,0,500,100
Dekalb Family Practice And Geriatrics,DeKalb,0,0,2000,100
Dunwoody Pharmacy,DeKalb,0,0,2200,700
Emory Healthcare,DeKalb,17550,11700,10000,800
Emory Healthcare Employee Health Services,DeKalb,39000,37050,20000,9400
Emory University The Hope Clinic,DeKalb,0,0,3300,0
Empower Family Medicine,DeKalb,0,0,200,0
Ethne Health,DeKalb,975,1950,300,600
Fresenius Kidney Care Snapfinger,DeKalb,0,0,100,0
Fresenius Kidney Care Tucker,DeKalb,0,0,100,0
George West Mental Health Foundation,DeKalb,0,0,600,500
Georgia Bureau Of Investigation,DeKalb,0,0,200,0
"Georgia Family Care, Llc",DeKalb,0,0,600,0
Georgia Regional Hospital - Atlanta,DeKalb,0,0,1500,1600
Greater Atlanta Family Healthcare,DeKalb,0,0,400,200
"Iresearch Atlanta, Llc",DeKalb,5850,975,6400,200
Kroger 210,DeKalb,0,0,1300,800
Kroger Pharmacy #303,DeKalb,0,0,1300,100
Kroger Pharmacy #318,DeKalb,0,0,400,300
Kroger Pharmacy #354,DeKalb,0,0,1300,200
Kroger Pharmacy #375,DeKalb,0,0,1300,200
Kroger Pharmacy #449,DeKalb,0,0,1500,400
Kroger Pharmacy 01100218,DeKalb,0,0,1400,200
Kroger Pharmacy 01100324,DeKalb,0,0,1300,200
Kroger Pharmacy 01100427,DeKalb,0,0,1300,200
Kroger Pharmacy 01100459,DeKalb,0,0,1400,300
Kroger Pharmacy 01100475,DeKalb,0,0,1300,100
