Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
Kroger Pharmacy 01100482,DeKalb,0,0,1400,200
Kroger Pharmacy 01100491,DeKalb,0,0,1300,200
Kroger Pharmacy 01100685,DeKalb,0,0,1900,300
Kroger Pharmacy 445,DeKalb,0,0,1300,400
La Vista Primary Care,DeKalb,0,0,300,0
Latinamerican Medical Center,DeKalb,0,0,300,100
Leslie C Norman Md,DeKalb,0,0,800,100
Lifeline Primary Care,DeKalb,975,0,3500,300
Mercy Care Chamblee Meech,DeKalb,0,0,500,500
Oakhurst Medical Centers Inc.,DeKalb,0,0,100,200
Oscar Medical Center,DeKalb,0,0,200,100
Palliative Pharmacy Solutions,DeKalb,0,0,1200,0
Peachford Hospital,DeKalb,2925,2925,1200,1200
Personalized Primary Care,DeKalb,0,0,2700,600
Premier Family Clinic,DeKalb,0,0,200,0
Publix Pharmacy #0765,DeKalb,0,0,1000,400
Publix Pharmacy#0269,DeKalb,0,0,1000,400
Publix Pharmacy#0494,DeKalb,0,0,1000,300
Publix Pharmacy#0544,DeKalb,0,0,1000,300
Publix Pharmacy#0691,DeKalb,0,0,1100,500
Publix Pharmacy#0723,DeKalb,0,0,1200,500
Publix Pharmacy#0752,DeKalb,0,0,1200,500
Publix Pharmacy#0773,DeKalb,0,0,1000,400
Publix Pharmacy#0783,DeKalb,0,0,2200,500
Publix Pharmacy#1363,DeKalb,0,0,1000,400
redan community pharmacy,DeKalb,0,0,1200,0
south dekalb family physicians,DeKalb,0,0,1000,0
South Dekalb Rockdale,DeKalb,0,0,300,100
The Kroger Company,DeKalb,0,0,1300,200
The Pediatric Center Of Stone Mountain,DeKalb,0,0,200,200
Viral Solutions,DeKalb,1950,0,500,0
Walgreens #05759,DeKalb,0,0,800,0
Walgreens #6138,DeKalb,0,0,200,0
Whitefoord Family Medical Center,DeKalb,0,0,300,300
Yager Family Medicine,DeKalb,0,0,300,100
Dodge County Health Department,Dodge,0,0,3100,2600
Dodge County Hospital,Dodge,0,0,1600,1100
The Prescription Shop-medical Center,Dodge,0,0,2800,0
Walmart Store 1018,Dodge,0,0,800,400
Dooly County Hd,Dooly,0,0,5500,1400
Unadilla Drug Co,Dooly,0,0,1100,600
Aaphc Northwest Family Medical And Dental Center,Dougherty,0,0,8300,3800
"Aim Medical Associates, Pc Albany Internal Medicine",Dougherty,0,0,800,400
City Of Albany Health Center,Dougherty,0,0,200,0
Dougherty County Health Department,Dougherty,0,0,4500,5900
Medisave Pharmacy,Dougherty,0,0,100,0
Meredyth Surgery Center,Dougherty,0,0,200,200
Nightingale Infusion,Dougherty,2925,0,500,200
"Phoebe Putney Memorial Hospital , Inc",Dougherty,39000,17550,18500,1100
Publix Pharmacy#0450,Dougherty,0,0,1000,500
South Albany Medical Center,Dougherty,0,0,5300,600
U Save It Pharmacy - Dawson Rd,Dougherty,0,0,400,200
U Save It Pharmacy - Downtown,Dougherty,0,0,200,200
U Save It Pharmacy - Northwest,Dougherty,0,0,600,200
U Save It Pharmacy - Palmyra,Dougherty,0,0,400,400
U Save It Pharmacy - South Albany,Dougherty,0,0,300,200
Walgreens #06201,Dougherty,0,0,800,0
Walgreens Pharmacy (#15913),Dougherty,0,0,100,0
Walmart Store 5797,Dougherty,0,0,900,300
Douglas County Fire/Ems Department,Douglas,0,0,400,100
Douglasville Public Health Center,Douglas,0,0,7500,2400
Kennesaw State Student Health,Douglas,5850,0,4700,100
Kroger Pharmacy 01100366,Douglas,0,0,1700,200
Kroger Pharmacy 01100376,Douglas,0,0,1400,200
Kroger Pharmacy 01100391,Douglas,0,0,1400,200
Kroger Pharmacy 01100485,Douglas,0,0,1400,200
Kroger Pharmacy 01100616,Douglas,0,0,1400,200
Practitioners Community Care,Douglas,0,0,200,0
Premier Care Family Medicine,Douglas,0,0,1200,400
Premier Drugstore,Douglas,0,0,5000,500
Publix Pharmacy#0145,Douglas,0,0,1000,200
Publix Pharmacy#0485,Douglas,0,0,1000,200
Publix Pharmacy#1139,Douglas,0,0,1100,300
Walgreens #17194,Douglas,0,0,800,0
"Wellstar Atlanta Medical Center, Inc",Douglas,10725,8775,15000,2500
"Wellstar Cobb Hospital, Inc.",Douglas,32175,11700,30000,2700
Wellstar Douglas Hospital,Douglas,9750,8775,20000,3000
"Wellstar Health System, Inc",Douglas,33150,12675,35000,1000
Wellstar West Georgia Medical Center,Douglas,11700,975,15000,900
Wellstar Windy Hill Hospital,Douglas,11700,5850,15000,1500
wyatts pharmacy,Douglas,0,0,200,0
"Youth Villages, Inner Harbour Campus",Douglas,0,0,1000,0
Early County Health Department,Early,0,0,1500,1900
Hall Drug Co.,Early,1950,0,4700,600
Lifebrite Community Hospital Of Early,Early,0,0,200,200
Primary Care Of Soutwest Georgia Blakley,Early,0,0,100,200
Echols County Health Department New,Echols,0,0,1400,1300
Effingham County Health Department,Effingham,0,0,2900,2200
Effingham Health System,Effingham,6825,2925,900,700
Kroger #625,Effingham,0,0,1800,300
Southcoast Health Pediatrics,Effingham,0,0,300,0
Walmart Store 1011,Effingham,0,0,500,700
ELBERT COUNTY HEALTH DEPT,Elbert,0,0,600,700
Ingles Pharmacy #65,Elbert,0,0,1200,800
Madden's Pharmacy,Elbert,975,0,900,500
Medlink Georgia - Bowman,Elbert,0,0,500,900
The Medical Center Of Elberton,Elbert,4875,3900,2900,1200
"Ashley Drug Company, Inc.",Emanuel,0,0,1500,800
East Georgia Healthcare Center Inc,Emanuel,0,0,3000,1200
Emanuel County Health Department,Emanuel,0,0,2900,2200
Emanuel Medical Center,Emanuel,0,0,1000,700
Evans County Health Department,Evans,0,0,1100,1100
Evans Memorial Hospital,Evans,0,0,2900,2100
Southern Family Medicine Of Ga,Evans,0,0,6400,1000
The Drug Store,Evans,0,0,600,200
Fannin County Fire/Ems,Fannin,0,0,700,500
Fannin County Health Department,Fannin,0,0,3300,1800
Fannin Regional Hospital,Fannin,0,0,900,900
Georgia Mountains Health,Fannin,0,0,1400,900
Ingles Pharmacy #36,Fannin,0,0,1100,700
Mccaysville Drug Center,Fannin,0,0,700,0
"Byron F. Harper, Iii, Md Pc",Fayette,0,0,500,100
Family Medicine Specialists,Fayette,0,0,1200,200
Fayette County Health Department,Fayette,0,0,5000,3300
Kroger Pharmacy 01100315,Fayette,0,0,1400,200
Kroger Pharmacy 01100388,Fayette,0,0,1700,400
Kroger Pharmacy 01100422,Fayette,0,0,1600,200
Kroger Pharmacy 01100490,Fayette,0,0,1400,100
Peachtree City Physicians Group,Fayette,0,0,700,200
Piedmont Fayette Hospital,Fayette,0,0,8600,2700
Publix Pharmacy#0546,Fayette,0,0,1100,300
Publix Pharmacy#0579,Fayette,0,0,1300,400
Publix Pharmacy#0799,Fayette,0,0,1200,300
Publix Pharmacy#0892,Fayette,0,0,1400,400
Publix Pharmacy#1087,Fayette,0,0,1100,300
summit endoscopy center,Fayette,0,0,200,0
Wmc Tyrone Llc,Fayette,0,0,1000,200
"Armuchee Pharmacy, Llc",Floyd,0,0,1000,300
Floyd County Health Department,Floyd,0,0,21100,6300
Floyd Medical Center,Floyd,20475,13650,18900,5100
Harbin Clinic,Floyd,0,0,3300,300
Kroger Pharmacy 01100667,Floyd,0,0,1400,100
northwest georgia medical clinic pc,Floyd,0,0,400,0
Northwest Health District Pharmacy,Floyd,0,0,10300,3100
Publix Pharmacy#1403,Floyd,0,0,1200,400
Redmond Regional Medical Center,Floyd,2925,4875,1800,3300
Robert J. Madden M.D.P.C.,Floyd,0,0,100,0
Transitions Hospice Care,Floyd,0,0,800,300
Walmart Store 5151,Floyd,0,0,1400,700
Winslette Pharmacy,Floyd,0,0,3800,500
Alphacare Medical Center,Forsyth,0,0,200,0
Bethelview Pharmacy,Forsyth,0,0,11800,2200
Carroll Total Healthcare,Forsyth,0,0,200,100
Commonwealth Primary Care,Forsyth,0,0,1300,700
"Comprehensive Internal Medicine, P.C.",Forsyth,975,0,4300,0
Forsyth County Health Department,Forsyth,3900,975,18800,3800
Georgia Highlands Medical Services,Forsyth,0,0,500,200
Highlands Medical Plazageriatrics,Forsyth,0,0,700,0
Hope Family Medicine,Forsyth,2925,975,11400,800
Ingles Pharmacy #455,Forsyth,0,0,1000,600
inspire obgyn,Forsyth,0,0,200,0
"Johns Creek Primary Care Physicians, Llc",Forsyth,975,0,6000,400
Kroger Pharmacy 01100432,Forsyth,0,0,1300,200
Kroger Pharmacy 01100473,Forsyth,0,0,1300,400
Kroger Pharmacy 01100486,Forsyth,0,0,1500,200
Kroger Pharmacy 01100627,Forsyth,0,0,1300,100
North Atlanta Primary Care,Forsyth,11700,0,8500,800
Northside Hospital Forsyth,Forsyth,40950,5850,20000,2400
peach clinic,Forsyth,0,0,200,0
Peach Clinic,Forsyth,0,0,100,100
Peachtree Women's Clinic,Forsyth,0,0,900,100
"Premier Medical Associates, Pc",Forsyth,975,975,500,400
Publix Pharmacy #1690,Forsyth,0,0,1200,300
Publix Pharmacy#0049,Forsyth,0,0,1300,300
Publix Pharmacy#0519,Forsyth,0,0,1000,100
Publix Pharmacy#0565,Forsyth,0,0,1500,500
Publix Pharmacy#0616,Forsyth,0,0,1300,300
Publix Pharmacy#1089,Forsyth,0,0,1300,300
Publix Pharmacy#1091,Forsyth,0,0,1300,300
Publix Pharmacy#1130,Forsyth,0,0,1600,600
Publix Pharmacy#1227,Forsyth,0,0,1100,300
Windermere Medical Clinic,Forsyth,0,0,3500,1300
Franklin County Health Department,Franklin,0,0,5100,2200
Medlink Georgia - Royston,Franklin,0,0,1100,900
1st Care Management,Fulton,0,0,3400,200
Absolutecare Medical Center And Pharmacy,Fulton,975,0,1400,300
Adamsville Regional Health Center,Fulton,0,0,6500,1200
Alpha Medical Centre,Fulton,0,0,2100,500
Alpha Omega Ob/Gyn,Fulton,975,0,1100,0
Alpharetta Roswell Family Practice,Fulton,0,0,1000,0
Atlanta Center For Medical Research,Fulton,975,0,200,0
Atlanta Diabetes Associates,Fulton,4875,1950,5900,300
atlanta ent sinus allergy associates,Fulton,975,0,100,0
Atlanta Harm Reduction Coalition,Fulton,0,0,300,200
Atlanta Id Group,Fulton,0,0,3700,1000
Balanced Bodies Anti-aging Clinic,Fulton,0,0,300,0
blood marrow transplant group of georg,Fulton,0,0,100,0
Buckhead Internal Medicine,Fulton,0,0,1900,200
Buckhead Medicine,Fulton,0,0,500,300
Children's Healthcare Of Atlanta At Hughes Spalding,Fulton,0,0,700,400
Clinica Union Ii Roswell,Fulton,0,0,3600,500
College Park Health Center,Fulton,0,0,5400,3000
Comprehensive Internal Medicine,Fulton,0,0,4000,500
Concentra - Conyers,Fulton,0,0,400,400
Concentra Urgent Care,Fulton,0,0,200,0
Concierge Medicine Of Buckhead,Fulton,0,0,400,0
coney minter internal medicine pc,Fulton,0,0,2000,0
Davita East Point,Fulton,0,0,2100,0
Digestive Healthcare Of Ga,Fulton,0,0,100,0
Family Practice Center P.C.,Fulton,0,0,800,700
Georgia Ob/Gyn,Fulton,0,0,200,0
Good Samaritan Health Center,Fulton,0,0,1100,500
Grady Memorial Hospital,Fulton,8775,10725,10000,6700
Gsu Student Health Center,Fulton,975,0,1000,0
Gwinnett Clinic,Fulton,975,1950,3000,1500
Healing Community Center,Fulton,0,0,200,200
Health One Medical Group Llc,Fulton,0,0,3100,0
Highland Urgent Care And Family Medicine,Fulton,0,0,1300,200
"Hillside, Inc.",Fulton,0,0,400,200
integrity compounding pharmacy,Fulton,0,0,500,0
"Internal Medicine Specialists Of Atlanta, Pc",Fulton,0,0,1100,100
Ivy Falls Family Medicine,Fulton,0,0,200,0
Kaiser Permanente Southwood Comprehensive Medical Center Fulton,16575,4875,1000,100,NA
Kroger Pharmacy 01100247,Fulton,0,0,1400,100
Kroger Pharmacy 01100298,Fulton,0,0,1500,300
Kroger Pharmacy 01100346,Fulton,0,0,1400,100
Kroger Pharmacy 01100364,Fulton,0,0,1400,200
Kroger Pharmacy 01100390,Fulton,0,0,1300,700
Kroger Pharmacy 01100412,Fulton,0,0,1400,200
Kroger Pharmacy 01100415,Fulton,0,0,1100,200
Kroger Pharmacy 01100431,Fulton,0,0,1300,200
Kroger Pharmacy 01100441,Fulton,0,0,1300,200
Kroger Pharmacy 01100444,Fulton,0,0,1300,200
Kroger Pharmacy 01100451,Fulton,0,0,1400,200
Kroger Pharmacy 01100462,Fulton,0,0,1400,400
Kroger Pharmacy 01100465,Fulton,0,0,1400,200
Kroger Pharmacy 01100467,Fulton,0,0,1300,100
Kroger Pharmacy 01100469,Fulton,0,0,1300,200
Kroger Pharmacy 01100471,Fulton,0,0,1400,200
Kroger Pharmacy 01100488,Fulton,0,0,1400,200
Kroger Pharmacy 01100495,Fulton,0,0,1300,200
Kroger Pharmacy 01100497,Fulton,0,0,1300,100
Kroger Pharmacy 01100626,Fulton,0,0,1300,300
Kroger Pharmacy 01100653,Fulton,0,0,1300,200
Kroger Pharmacy 01100672,Fulton,0,0,1400,200
Kroger Pharmacy 01100695,Fulton,0,0,1300,200
Kroger Pharmacy 259,Fulton,0,0,1300,200
Main Street Internal Medicine & Pediatrics Pc,Fulton,0,0,300,200
Mdvip Medical Group Ga-atl Llc,Fulton,0,0,4200,300
Mercy Care Corc,Fulton,0,0,100,100
Mercy Care Sjmc,Fulton,0,0,600,600
Metro Medical Associates,Fulton,0,0,1000,0
Morehouse Healthcare/Cfhc,Fulton,0,0,13000,1700
Mps/Communicable Disease Clinic,Fulton,33150,29250,15000,7300
Neighborhood Union Health Center,Fulton,0,0,900,500
North Atlanta Medical & Digestive Care,Fulton,0,0,700,0
North Chattahoochee Family Physicians,Fulton,0,0,400,100
North Fulton Regional Health Center,Fulton,25350,9750,2100,800
North Roswell Internal Medicine,Fulton,0,0,300,400
Northside Hospital,Fulton,35100,20475,20000,3600
Northside/Northpoint Obgyn,Fulton,0,0,1500,300
Oak Tree Family Medicine,Fulton,0,0,200,100
Ob/Gyn Of North Atlanta,Fulton,0,0,100,0
Obstetrics & Gynecology Of Atlanta,Fulton,0,0,1400,400
Oh Pharmacy,Fulton,0,0,5600,700
One Medical,Fulton,0,0,100,0
One Medical Buckhead,Fulton,0,0,100,0
Pandya Medical Center,Fulton,0,0,8200,200
Peachtree Allergy And Asthma Clinic,Fulton,0,0,400,100
Peachtree Orthopedic Surgery Center,Fulton,0,0,400,400
Peachtree Orthopedic Surgery Center At Perimeter,Fulton,0,0,200,100
Peachtree Orthopedics,Fulton,0,0,300,300
Perimeter North Internal Medicine,Fulton,0,0,1200,300
Personal Care Physicians Of Atlanta,Fulton,0,0,1600,200
Piedmont Atlanta Hospital,Fulton,12675,10725,19500,12700
Piedmont Cancer Institute,Fulton,0,0,100,200
Publix Pharmacy #0541,Fulton,0,0,1000,200
Publix Pharmacy #1226,Fulton,0,0,1000,200
Publix Pharmacy #1647,Fulton,0,0,1300,500
Publix Pharmacy #1718,Fulton,0,0,1100,300
Publix Pharmacy#0226,Fulton,0,0,1100,300
Publix Pharmacy#0282,Fulton,0,0,1400,500
Publix Pharmacy#0468,Fulton,0,0,1000,200
Publix Pharmacy#0469,Fulton,0,0,1000,200
Publix Pharmacy#0503,Fulton,0,0,1500,700
Publix Pharmacy#0514,Fulton,0,0,1000,200
Publix Pharmacy#0515,Fulton,0,0,1000,200
Publix Pharmacy#0556,Fulton,0,0,1000,200
Publix Pharmacy#0599,Fulton,0,0,1500,700
Publix Pharmacy#0626,Fulton,0,0,1200,300
Publix Pharmacy#0646,Fulton,0,0,1200,300
Publix Pharmacy#0647,Fulton,0,0,1200,300
Publix Pharmacy#0664,Fulton,0,0,1300,400
Publix Pharmacy#0718,Fulton,0,0,1300,500
Publix Pharmacy#0721,Fulton,0,0,1000,200
Publix Pharmacy#0724,Fulton,0,0,1000,200
Publix Pharmacy#0762,Fulton,0,0,1200,400
Publix Pharmacy#1010,Fulton,0,0,1000,200
Publix Pharmacy#1019,Fulton,0,0,1000,200
Publix Pharmacy#1043,Fulton,0,0,1000,200
Publix Pharmacy#1044,Fulton,0,0,1200,300
Publix Pharmacy#1056,Fulton,0,0,1200,300
Publix Pharmacy#1060,Fulton,0,0,1000,200
Publix Pharmacy#1061,Fulton,0,0,1300,500
Publix Pharmacy#1119,Fulton,0,0,1500,700
Publix Pharmacy#1183,Fulton,0,0,1300,500
Red Apple Interactive Pharmacy,Fulton,0,0,3600,500
Revue Pharmacy,Fulton,0,0,2000,0
Roswell Ob/Gyn,Fulton,975,0,4000,500
Sandra Adamson Fryhofer,Fulton,0,0,200,0
Sandy Springs Family Medicine And Urgent Care,Fulton,0,0,1300,300
"Sandy Springs Internal Medicine, Pc",Fulton,0,0,12300,300
Sanus Medical,Fulton,0,0,2900,400
Select Specialty Hospital-midtown Atlanta,Fulton,0,0,300,300
Shepherd Center,Fulton,1950,1950,2000,2000
"Southern Medical Clinic, Llc",Fulton,0,0,400,200
Southern Regional Medical Center,Fulton,0,4875,0,1000
Stamps Health Services At Georgia Institute Of Technology Fulton,2925,2925,200,200,NA
Steven Marlowe Md/Ipsum Diagnostics,Fulton,2925,0,600,100
The Center For Internal & Integrative Medicine,Fulton,0,0,500,0
The Family Health Centers Of Georgia Inc.,Fulton,1950,1950,700,800
"The Physicians Spine And Rehabilitation Specialists Of Georgia, Pc Fulton",0,0,300,100,NA
tim cummings md,Fulton,0,0,500,0
Tuxedo Pharmacy,Fulton,0,0,16500,900
Walgreens #09451,Fulton,0,0,800,0
Walgreens #18233,Fulton,0,0,800,0
Walgreens 5760,Fulton,0,0,200,0
Wender & Roberts Drugs - Wpf,Fulton,0,0,1000,100
Yourtown Health Palmetto,Fulton,0,0,9100,1200
Ellijay Urgent Care & Family Practice,Gilmer,0,0,400,0
Georgia Mountains Health Ellijay,Gilmer,0,0,1300,800
Gilmer County Fire Rescue,Gilmer,0,0,1000,400
Gilmer Health Dept,Gilmer,0,0,18600,5500
Ingles Pharmacy #409,Gilmer,0,0,1000,600
Glascock County Health Dept,Glascock,0,0,2200,1500
Tri-county Health Systems - Glascock,Glascock,0,0,300,300
Coastal Community Health Services,Glynn,0,0,2500,1600
Coastal Family Medicine,Glynn,0,0,2500,300
Glynn County Health Department,Glynn,14625,13650,4700,3400
"Jwg Md, Llc Dba James W. Greene, Md,Llc",Glynn,0,0,400,200
Partners In Health,Glynn,0,0,500,500
Publix Pharmacy#0431,Glynn,0,0,1000,800
"Southeast Georgia Health System, Brunswick Campus",Glynn,17550,8775,10700,4000
Willard A Snyder Jr Md,Glynn,0,0,1300,300
Adventhealth Gordon Hospital,Gordon,2925,1950,0,0
Food City Pharmacy #212,Gordon,0,0,100,0
Gordon County Health Department,Gordon,0,0,21900,5100
The Prescription Shop,Gordon,0,0,2800,900
Center Drugs,Grady,0,0,1000,100
Grady County Health Department,Grady,0,0,1700,1800
Quail Ridge Family Practice,Grady,0,0,100,0
U Save It Pharmacy - Cairo,Grady,0,0,400,300
Cowles Clinic Urology,Greene,0,0,8800,2300
Greene County Health Dept,Greene,0,0,600,300
Publix Pharmacy#0853,Greene,0,0,1300,300
Ag Family Medicine,Gwinnett,0,0,4000,500
"Avvsc Lawrenceville, Llc",Gwinnett,0,0,0,0
Berkeley Family Medicine Associates,Gwinnett,0,0,500,0
Buford Dialysis,Gwinnett,0,0,1600,0
Buford Family Practice And Urgent Care,Gwinnett,0,0,100,0
Buford Norcross Primary Care,Gwinnett,0,0,5000,600
"Carlinvision Surgery Center, Llc",Gwinnett,0,0,100,100
Clinica Union,Gwinnett,0,0,300,300
Cooper Pediatrics,Gwinnett,0,0,1200,100
Cpacs Cosmo Health Center,Gwinnett,975,0,500,0
drews family medicine,Gwinnett,0,0,300,0
Eastside Medical Center,Gwinnett,2925,2925,800,800
"Evergreen Family Medicine, Llc",Gwinnett,0,0,1000,200
Four Corners Primary Care Centers - Norcross,Gwinnett,0,0,400,500
Fresenius Gwinnett At Home,Gwinnett,0,0,100,0
Fresenius Kidney Care Lilburn,Gwinnett,975,975,100,0
fwp2017,Gwinnett,0,0,1000,0
Ga Internal Medicine,Gwinnett,0,0,10000,100
Georgia Clinic @ Sugarloaf,Gwinnett,0,0,7100,200
Georgia Clinic At Peachtree Corners,Gwinnett,0,0,11200,100
Georgia Family Care Lawrenceville,Gwinnett,0,0,500,0
Georgiasurgicare,Gwinnett,1950,0,300,200
group 3001 care here clinic,Gwinnett,0,0,100,0
Gwinnett Comprehensive Medical Center,Gwinnett,16575,4875,1000,200
Gwinnett County Board Of Health*,Gwinnett,23400,17550,23000,10600
Gwinnett County Wellness Center,Gwinnett,0,0,200,0
Gwinnett Drugs Llc,Gwinnett,20475,0,43400,1500
Gwinnett Pulmonary Group,Gwinnett,975,0,3500,200
Gynecology Associates Of Gwinnett,Gwinnett,0,0,100,200
Hope Clinic Inc,Gwinnett,0,0,100,0
Horizons Healthcare,Gwinnett,0,0,100,0
Internal Medicine Associates Of Lawrenceville,Gwinnett,0,0,100,0
Jk Internal Medicine,Gwinnett,0,0,3000,300
Kroger Pharmacy #394,Gwinnett,0,0,1400,200
Kroger Pharmacy #443,Gwinnett,0,0,1400,300
Kroger Pharmacy 01100350,Gwinnett,0,0,1300,500
Kroger Pharmacy 01100374,Gwinnett,0,0,1400,200
Kroger Pharmacy 01100381,Gwinnett,0,0,1500,200
Kroger Pharmacy 01100389,Gwinnett,0,0,1400,300
Kroger Pharmacy 01100424,Gwinnett,0,0,1500,200
Kroger Pharmacy 01100434,Gwinnett,0,0,1300,200
Kroger Pharmacy 01100438,Gwinnett,0,0,1500,200
Kroger Pharmacy 01100440,Gwinnett,0,0,1400,200
Kroger Pharmacy 01100457,Gwinnett,0,0,1500,200
Kroger Pharmacy 01100476,Gwinnett,0,0,1600,0
Kroger Pharmacy 01100477,Gwinnett,0,0,1500,200
Kroger Pharmacy 01100480,Gwinnett,0,0,1400,200
Kroger Pharmacy 01100483,Gwinnett,0,0,1400,200
Kroger Pharmacy 01100484,Gwinnett,0,0,1400,200
Kroger Pharmacy 01100494,Gwinnett,0,0,1500,200
Kroger Pharmacy 01100635,Gwinnett,0,0,1800,200
Kroger Pharmacy 01100636,Gwinnett,0,0,1700,200
Kroger Pharmacy 01100687,Gwinnett,0,0,1500,200
La Vista Norcross Clinic,Gwinnett,0,0,500,200
Lawrenceville Health Center,Gwinnett,0,1950,5500,8000
Lifeline Primary Care,Gwinnett,975,0,5500,200
Lifeline Primary Care,Gwinnett,975,0,3500,200
"Managed Health Solutions, Llc",Gwinnett,11700,6825,8300,2800
Medi-thrift Pharmacy,Gwinnett,0,0,1200,800
Medlink Georgia - Gwinnett,Gwinnett,0,0,300,400
namaste pharmacy llc,Gwinnett,0,0,300,0
Ngpg Buford,Gwinnett,975,0,400,0
Ngpg Dacula Primary Care,Gwinnett,0,0,1500,0
Ngpg Hamilton Mill,Gwinnett,0,0,1500,0
Norcross Health Center,Gwinnett,975,2925,3500,3500
Northside Hospital Gwinnett,Gwinnett,35100,11700,20000,2400
Occupational Health Solutions,Gwinnett,0,0,1000,0
One Health Research Clinic,Gwinnett,975,975,200,100
Pleasant Hill Family Medicine,Gwinnett,0,0,9400,700
Premier Primary Care,Gwinnett,0,0,600,0
Publix Pharmacy #1678,Gwinnett,0,0,1000,200
Publix Pharmacy#0074,Gwinnett,0,0,1000,200
Publix Pharmacy#0495,Gwinnett,0,0,1000,200
Publix Pharmacy#0505,Gwinnett,0,0,1500,700
Publix Pharmacy#0508,Gwinnett,0,0,1500,700
Publix Pharmacy#0538,Gwinnett,0,0,1000,200
Publix Pharmacy#0539,Gwinnett,0,0,1100,300
Publix Pharmacy#0560,Gwinnett,0,0,1000,200
Publix Pharmacy#0564,Gwinnett,0,0,1300,400
Publix Pharmacy#0569,Gwinnett,0,0,1000,200
Publix Pharmacy#0585,Gwinnett,0,0,1100,300
Publix Pharmacy#0596,Gwinnett,0,0,1200,300
Publix Pharmacy#0612,Gwinnett,0,0,1200,300
Publix Pharmacy#0615,Gwinnett,0,0,1100,300
Publix Pharmacy#0726,Gwinnett,0,0,1000,200
Publix Pharmacy#0789,Gwinnett,0,0,1300,500
Publix Pharmacy#0803,Gwinnett,0,0,1200,300
Publix Pharmacy#0859,Gwinnett,0,0,1500,700
Publix Pharmacy#0863,Gwinnett,0,0,1300,600
Publix Pharmacy#1078,Gwinnett,0,0,1500,700
Publix Pharmacy#1178,Gwinnett,0,0,1000,200
Reagan Medical Center,Gwinnett,0,0,20000,600
revive medical center,Gwinnett,0,0,100,0
River Parc Internal Medicine,Gwinnett,0,0,6100,200
Select Specialty Hospital - Augusta,Gwinnett,0,0,400,300
"Shah Pediatrics, Inc.",Gwinnett,0,0,100,0
Southern Dental Snellville,Gwinnett,975,0,800,0
Suburban Medical Center,Gwinnett,0,0,3200,1200
Sugarloaf Medical Pc,Gwinnett,1950,1950,1600,900
Suwanee Pharmacy,Gwinnett,0,0,800,600
Tri County Internal Medicine,Gwinnett,0,0,4000,300
Walgreens #06088,Gwinnett,0,0,800,0
Walgreens #10248,Gwinnett,0,0,800,0
Walgreens Store 6207,Gwinnett,0,0,100,0
Zam Zam Family Clinic,Gwinnett,0,0,100,100
Arnold Drug Company,Habersham,0,0,3000,300
Baldwin Pharmacy Llc,Habersham,0,0,2200,700
Clarkesville Drug Inc,Habersham,0,0,4300,200
Crossroads Pharmacy,Habersham,0,0,300,100
Dialysis Clinic East Columbus,Habersham,0,0,100,100
Habersham County Health Department,Habersham,0,0,6500,3400
Habersham Medical Center - Employee Benefits,Habersham,1950,0,5000,1300
Habersham Primary Care,Habersham,0,0,500,300
Ingles Pharmacy #428,Habersham,0,0,1100,700
Ingles Pharmacy #61,Habersham,0,0,1000,600
tims pharmacy,Habersham,0,0,200,0
Braselton Pharmacy,Hall,0,0,900,0
Brenau University,Hall,0,0,1800,100
Cbo Wauka Mtn,Hall,0,0,5000,100
Citizens Pharmacy,Hall,0,0,24300,1400
Community Medical Care,Hall,0,0,200,100
good news clinics,Hall,0,0,100,0
Hall County Health Department,Hall,29250,18525,26700,12400
Ingles Pharmacy #412,Hall,0,0,1000,600
Kroger Pharmacy 01100416,Hall,0,0,1700,300
Kroger Pharmacy 01100437,Hall,0,0,1500,300
Kroger Pharmacy 01100682,Hall,0,0,1700,200
Lawrence Pharmacy,Hall,0,0,800,100
Longstreet Clinic,Hall,0,0,1000,300
lula pharmacy and foothills gift shop,Hall,0,0,400,0
